Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
图利娅,Tullia,,,,tên riêng (tự điền)
图卡娅,Tukaya,,,,tên riêng (tự điền)
图林,Turing,,,,tên riêng (tự điền)
图瑞娅,Turia,,,,tên riêng (tự điền)
图莉娅,Tulia,,,,tên riêng (tự điền)
图里奥,1,,,,tên riêng (tự điền)
圆滑的经理,Quản Lý Khéo Léo,,,,tên riêng (tự điền)
土壤样本,<ano=Soil Sample>Mẫu đất</ano>,Soil Sample,,,tên riêng (tự điền)
土法潮石,<ano=Indigenous Tacetreite>Indigenous Tacetreite</ano>,Indigenous Tacetreite,,,tên riêng (tự điền)
土著的虚影,Ảo Ảnh Của Thổ Dân,,,,tên riêng (tự điền)
在意分数的学生,Học Sinh Bận Tâm Điểm Số,,,,tên riêng (tự điền)
在遗落原乡拾取的数据资料。,Speaker_771_Name,The data material found in the Forsaken Abundance.,,,tên riêng (tự điền)
地下商人,Thương Nhân Ngầm,,,,tên riêng (tự điền)
地勤中心的回应【影视剪辑】,Phản Hồi Từ Trung Tâm Mặt Đất [Biên Tập Phim Ảnh],,,,tên riêng (tự điền)
坎杜拉斯,Canduras,,,,tên riêng (tự điền)
坎特蕾拉,Cantarella,,,,tên riêng (tự điền)
坚守的夜归士兵,Binh Sĩ Dạ Quy Kiên Thủ,,,,tên riêng (tự điền)
坚定的小孩,Lv.1,,,,tên riêng (tự điền)
坚岩斗士,Vật liệu kinh nghiệm <ano=Echo>Echo</ano> không tồn tại,,,,tên riêng (tự điền)
坚毅的修士,Tu Sĩ Kiên Nghị,,,,tên riêng (tự điền)
坚毅的元老,Nguyên Lão Kiên Nghị,,,,tên riêng (tự điền)
坚毅的教士,Giáo Sĩ Kiên Nghị,,,,tên riêng (tự điền)
坚毅的角斗士,Đấu Sĩ Kiên Nghị,,,,tên riêng (tự điền)
坚韧不屈的夜归成员,Thành Viên Dạ Quy Kiên Cường Bất Khuất,,,,tên riêng (tự điền)
坛璟,Đàn Cảnh,,,,tên riêng (tự điền)
垂头丧气的「赎罪者」,"""Người Chuộc Tội"" Ủ Rũ",,,,tên riêng (tự điền)
垃圾桶,Thùng rác,,,,tên riêng (tự điền)
垣泗,"Hơn nữa, mình nhớ trước đây <ano=Gorges of Spirit>Thung Lũng Vân Lăng</ano> cũng từng xuất hiện vài lần <ano=anomaly>bất thường</ano>. Có lẽ <ano=disturbance>nhiễu động</ano> lần này cũng do <ano=Wutheron>Wutheron</ano> tích tụ?",,,,tên riêng (tự điền)
埃万德,Evandros,,,,tên riêng (tự điền)
埃伯索尔,Ebersole,,,,tên riêng (tự điền)
埃克斯,Ecks,,,,tên riêng (tự điền)
埃内科,Eneko,,,,tên riêng (tự điền)
埃利亚斯,Ellias,,,,tên riêng (tự điền)
埃利安娜,Eliana,,,,tên riêng (tự điền)
埃利希,Ehlich,,,,tên riêng (tự điền)
埃尔斯卡,Elska,,,,tên riêng (tự điền)
埃德伯格,Edberg,,,,tên riêng (tự điền)
埃德加教授,Giáo Sư Edgar,,,,tên riêng (tự điền)
埃德加老师,Thầy Edgar,,,,tên riêng (tự điền)
埃斯克勒斯,Aeschylus,,,,tên riêng (tự điền)
埃斯特,Este,,,,tên riêng (tự điền)
埃斯特（Este）,Este,,,,tên riêng (tự điền)
埃斯科,Esco,,,,tên riêng (tự điền)
埃斯蒙德,Esmond,,,,tên riêng (tự điền)
埃曼纽尔,1,,,,tên riêng (tự điền)
埃格拉小镇居民,Cư Dân Thị Trấn Egla,,,,tên riêng (tự điền)
埃泽,Azor,,,,tên riêng (tự điền)
埃米利奥,Emilio,,,,tên riêng (tự điền)
埃米尔,Emil,,,,tên riêng (tự điền)
埃纳鲁纳,Enaru,,,,tên riêng (tự điền)
埃罗,Ero,,,,tên riêng (tự điền)
埃舍尔,Escher,,,,tên riêng (tự điền)
埃莉萨,Erisa,,,,tên riêng (tự điền)
埃莉诺,8777,,,,tên riêng (tự điền)
埃莱亚斯,Elias,,,,tên riêng (tự điền)
埃莱奥诺,Éléonore,,,,tên riêng (tự điền)
埃萨,Esa,,,,tên riêng (tự điền)
埃蒂,Eddie,,,,tên riêng (tự điền)
埃蒂丝,Edith,,,,tên riêng (tự điền)
埃里克,Eric,,,,tên riêng (tự điền)
埃里欧,Erio,,,,tên riêng (tự điền)
埋伏已久的流放者,1,,,,tên riêng (tự điền)
埋伏的红衣人,Lingyang,,,,tên riêng (tự điền)
城郊,1,Outskirt,,,tên riêng (tự điền)
域迁,Baizhi,,,,tên riêng (tự điền)
基地焚焰花区域,1,,,,tên riêng (tự điền)
基多辅,Kidofu,,,,tên riêng (tự điền)
基娅拉,Chiara,,,,tên riêng (tự điền)
基恩,Kien,,,,tên riêng (tự điền)
基斯,Keith,,,,tên riêng (tự điền)
基诺乌,Kinova,,,,tên riêng (tự điền)
基里尔,Kirill,,,,tên riêng (tự điền)
基顿,Keaton,,,,tên riêng (tự điền)
堂满留,x2,,,,tên riêng (tự điền)
塔乌克,Tauk,,,,tên riêng (tự điền)
塔伦蒂诺,666,,,,tên riêng (tự điền)
塔姆辛,Tamsen,,,,tên riêng (tự điền)
塔尔,500/10000,,,,tên riêng (tự điền)
塔彭丝,Tuppence,,,,tên riêng (tự điền)
塔拉,Talla,,,,tên riêng (tự điền)
塔汀娜,Tatiane,,,,tên riêng (tự điền)
塔洛斯,Talos,,,,tên riêng (tự điền)
塘塘,Đường Đường,,,,tên riêng (tự điền)
塞勒斯,Celus,,,,tên riêng (tự điền)
塞娜,Sena,,,,tên riêng (tự điền)
塞尔吉奥,Sergio,,,,tên riêng (tự điền)
塞尔日,Serge,,,,tên riêng (tự điền)
塞巴斯,Sebas,,,,tên riêng (tự điền)
塞布尔,Sabre,,,,tên riêng (tự điền)
塞德里克,Cedric,,,,tên riêng (tự điền)
塞拉,Sera,,,,tên riêng (tự điền)
塞拉芙,Seraph,,,,tên riêng (tự điền)
塞拉菲娜,Seraphina,,,,tên riêng (tự điền)
塞普,Sepp,,,,tên riêng (tự điền)
塞琳,Celine,,,,tên riêng (tự điền)
塞维,Sevi,,,,tên riêng (tự điền)
塞维莉亚,Severia,,,,tên riêng (tự điền)
塞雷塔,Seretta,,,,tên riêng (tự điền)
塬上废墟,Aalto,Plateau Ruins,,,tên riêng (tự điền)
墨丕,"Lúc giao Yangyang và Rover cho cậu, Baizhi đã dặn gì nhỉ?",,,,tên riêng (tự điền)
墨丘利,Mercury,,,,tên riêng (tự điền)
墨文,Mowen,,,,tên riêng (tự điền)
士兵,Baizhi,,,,tên riêng (tự điền)
士兵们,Các Binh Sĩ,,,,tên riêng (tự điền)
士气高涨的夜归成员,Thành Viên Dạ Quy Sĩ Khí Dâng Cao,,,,tên riêng (tự điền)
士远,16,,,,tên riêng (tự điền)
壮硕的造匠,Thợ Chế Tác Vạm Vỡ,,,,tên riêng (tự điền)
声之容器,Đồ Giám,Vessel of Sound,,,tên riêng (tự điền)
声匣,888,Audio Casket,,,tên riêng (tự điền)
声音嘶哑的造匠,Thợ Chế Tác Khàn Giọng,,,,tên riêng (tự điền)
声音熟悉的女孩,Cô Gái Có Giọng Nói Quen Thuộc,,,,tên riêng (tự điền)
声音熟悉的少女,Thiếu Nữ Có Giọng Nói Quen Thuộc,,,,tên riêng (tự điền)
声音粗野的造匠,Bắt đầu Thử thách,,,,tên riêng (tự điền)
声骸,Echo,Echo,,,thuật ngữ cốt lõi
声骸掮客,Người Môi Giới Echo,,,,tên riêng (tự điền)
声骸船,Thuyền Echo,,,,tên riêng (tự điền)
声骸角色-吟霖人偶,"x:999.99, y:999.99, z:999.99",Of Wind and Feathers,,,tên riêng (tự điền)
声骸角色-咕咕河豚,Speaker_99_Name,,,,tên riêng (tự điền)
声骸角色-坚岩斗士,Speaker_96_Name,,,,tên riêng (tự điền)
声骸角色-无冠者,"Rover, bên này.",,,,tên riêng (tự điền)
声骸角色-游弋蝶,Speaker_84_Name,Of Wind and Feathers,,,tên riêng (tự điền)
声骸角色-遁地鼠,Speaker_92_Name,Of Wind and Feathers,,,tên riêng (tự điền)
壶珅,Hồ Thân,,,,tên riêng (tự điền)
处决用女主,{0},,,,tên riêng (tự điền)
处决用男主,Speaker_115_Name,,,,tên riêng (tự điền)
备忘明细,Chi Tiết Ghi Nhớ,,,,tên riêng (tự điền)
复健中的伤员,Thương Binh Đang Phục Hồi,,,,tên riêng (tự điền)
复原的霁息兽尊,Thú Tôn Tễ Tức đã phục nguyên,,,,tên riêng (tự điền)
复建中的伤员,Thương Binh Đang Phục Hồi,,,,tên riêng (tự điền)
夏利婆婆,Bà Charlie,,,,tên riêng (tự điền)
夏尔巴恩,Sharbon,,,,tên riêng (tự điền)
夏空,Hạ Không,,,,tên riêng (tự điền)
夏空的信,Thư Của Hạ Không,,,,tên riêng (tự điền)
夏空（押解）,Xia Kong (Áp Giải),,,,tên riêng (tự điền)
夏空（过去）,Hạ Không (Quá Khứ),,,,tên riêng (tự điền)
夏耶,Shaye,,,,tên riêng (tự điền)
夏诺瓦,Chanoa,,,,tên riêng (tự điền)
夏露露,Sharuru,,,,tên riêng (tự điền)
外事府工作规范,Quy phạm công tác Ngoại Sự Phủ,,,,tên riêng (tự điền)
外地商人,Yangyang,,,,tên riêng (tự điền)
外来食客,Thực khách phương xa,,,,tên riêng (tự điền)
外表奇特的稷廷设备。,Speaker_696_Name,An oddly-shaped device of Ji Ting.,,,tên riêng (tự điền)
外部终端,10,,,,tên riêng (tự điền)
多利德,Dorid,,,,tên riêng (tự điền)
多妮斯,Donis,,,,tên riêng (tự điền)
多尔,Dole,,,,tên riêng (tự điền)
多尔特,Dort,,,,tên riêng (tự điền)
多想的“流放者”,"""Kẻ Lưu Đày"" Lo Lắng",,,,tên riêng (tự điền)
多拉,Dora,,,,tên riêng (tự điền)
多曼塔斯,Domantas,,,,tên riêng (tự điền)
多格,Doggins,,,,tên riêng (tự điền)
多疑的工匠,Thợ Thủ Công Đa Nghi,,,,tên riêng (tự điền)
多米尼克,Dominick,,,,tên riêng (tự điền)
多米提安,Domitian,,,,tên riêng (tự điền)
多米留斯·奥罗,Domilius Oro,,,,tên riêng (tự điền)
多苏穆,Dosunmu,,,,tên riêng (tự điền)
多莉亚,Doria,,,,tên riêng (tự điền)
多萝西,Dorothy,,,,tên riêng (tự điền)
多萝西【纯真梦幻】,Dorothy [Mộng Ảo Thuần Khiết],,,,tên riêng (tự điền)
多萝西娅,Dorothea,,,,tên riêng (tự điền)
多蒂尔,Dottir,,,,tên riêng (tự điền)
多蕾,Dorie,,,,tên riêng (tự điền)
多诺万,Donovan,,,,tên riêng (tự điền)
多路多,Duoluoduo,,,,tên riêng (tự điền)
多里安,Dorian,,,,tên riêng (tự điền)
夜夜,<ano=Rover>Rover</ano>,,,,tên riêng (tự điền)
夜天,128.00,,,,tên riêng (tự điền)
夜归侦察兵,Trinh Sát Viên Dạ Quy,,,,tên riêng (tự điền)
夜归军官,Ương… Yangyang!,,,,tên riêng (tự điền)
夜归哨兵,Lính Gác Dạ Quy,,,,tên riêng (tự điền)
夜归士兵,×80,,,,tên riêng (tự điền)
夜归成员,X,,,,tên riêng (tự điền)
夜归的留言,Lời nhắn của Dạ Quy,,,,tên riêng (tự điền)
夜归队员,Tăng Tấn Công,,,,tên riêng (tự điền)
夜息香,Speaker_295_Name,Nightshade,,,tên riêng (tự điền)
夜明坡,os,Yeming Slide,,,tên riêng (tự điền)
大人,Người Lớn,,,,tên riêng (tự điền)
大利,+,,,,tên riêng (tự điền)
大半损毁的留言条,Mẩu Lời Nhắn Hư Hỏng Phần Lớn,,,,tên riêng (tự điền)
大卫,David,,,,tên riêng (tự điền)
大卫的频率,Tần Số của David,,,,tên riêng (tự điền)
大友,Otomo,,,,tên riêng (tự điền)
大叔,16,,,,tên riêng (tự điền)
大吉,+,,,,tên riêng (tự điền)
大吾,Daigo,,,,tên riêng (tự điền)
大吾？,Daigo?,,,,tên riêng (tự điền)
大咪？,Da Mi?,,,,tên riêng (tự điền)
大咪？（山猫妖）,Da Mi? (Linh Miêu Yêu),,,,tên riêng (tự điền)
大嗓门角斗士,Đấu Sĩ Lớn Giọng,,,,tên riêng (tự điền)
大团长,Đại Đoàn Trưởng,,,,tên riêng (tự điền)
大坏魔王,Đại Ác Ma Vương,,,,tên riêng (tự điền)
大型声骸经验道具。,Speaker_611_Name,Large quantity of Echo EXP item.,,,tên riêng (tự điền)
大堂中机器人,Người Máy Trong Đại Sảnh,,,,tên riêng (tự điền)
大大,Name,,,,tên riêng (tự điền)
大大咧咧的男性,Người Đàn Ông Thoải Mái,,,,tên riêng (tự điền)
大布偶,Búp Bê Vải Lớn,,,,tên riêng (tự điền)
大快朵颐的食客,Thực khách ăn uống thỏa thuê,,,,tên riêng (tự điền)
大方,Dafang,,,,tên riêng (tự điền)
大日灵,<ano=Great Sun Spirit>Đại Nhật Linh</ano>,,,,tên riêng (tự điền)
大桦,Đại Hoa,,,,tên riêng (tự điền)
大汗淋漓的人,Người Đẫm Mồ Hôi,,,,tên riêng (tự điền)
大砺,Baizhi,,,,tên riêng (tự điền)
大维,"Yinlin, {PlayerName}, mọi người trong Nhà đừng hiểu lầm nhau.",,,,tên riêng (tự điền)
天傀（木禺）,Thiên Khôi (Muyu),,,,tên riêng (tự điền)
天城,Chuỗi Cộng Hưởng,Tiancheng,,,tên riêng (tự điền)
天城冒菜,Hoàng Long - Rừng Vô Quang,Tiancheng Maocai,,,tên riêng (tự điền)
天城冒菜食谱,Lv.18,Recipe: Tiancheng Maocai,,,tên riêng (tự điền)
天城城区,{0},Tiancheng Urban Area,,,tên riêng (tự điền)
天城烩,<ano=Tiancheng Stew>Hầm Thiên Thành</ano>,Tiancheng Stew,,,tên riêng (tự điền)
天城烩食谱,Công Thức Nấu Ăn <ano=Tiancheng Stew>Hầm Thiên Thành</ano>,Recipe: Tiancheng Feast,,,tên riêng (tự điền)
天工军人,Quân Nhân Thiên Công,,,,tên riêng (tự điền)
天工匠人,Thợ Thiên Công,,,,tên riêng (tự điền)
天工基建科士兵,Binh Sĩ Cơ Sở Khoa Thiên Công,,,,tên riêng (tự điền)
天工基建科成员,Baizhi,,,,tên riêng (tự điền)
天工女性,Nữ Nhân Viên Thiên Công,,,,tên riêng (tự điền)
天工成员,0/0,,,,tên riêng (tự điền)
天工部工程师,×80,,,,tên riêng (tự điền)
天工部研究员1,Lv.18,,,,tên riêng (tự điền)
天工部研究员2,Lv.18,,,,tên riêng (tự điền)
天工防事科士兵1,Binh Sĩ Phòng Sự Khoa Thiên Công 1,,,,tên riêng (tự điền)
天工防事科士兵2,"Đoàn trưởng Lingyang vừa nghe đã đoán ra rồi, xem ra rất hiểu Hội múa lân đấy!",,,,tên riêng (tự điền)
天帷机兵,Thiên Duy Cơ Binh,,,,tên riêng (tự điền)
天帷机兵·跃送型,Thiên Duy Cơ Binh · Loại Phóng Nhảy,,,,tên riêng (tự điền)
天帷机兵（？）,Cơ Binh Thiên Duy (?),,,,tên riêng (tự điền)
天才强迫症女孩【妆造大师】,Cô Gái Thiên Tài Mắc Chứng OCD [Bậc Thầy Trang Điểm],,,,tên riêng (tự điền)
天海,Thiên Hải,,,,tên riêng (tự điền)
天琅,666,,,,tên riêng (tự điền)
天生,Thiên Sinh,,,,tên riêng (tự điền)
天真的小米娅,Maia Ngây Thơ,,,,tên riêng (tự điền)
天羽,1,,,,tên riêng (tự điền)
天胡,Thiên Hồ,,,,tên riêng (tự điền)
央求的“英灵”,"""Anh Linh"" Khẩn Cầu",,,,tên riêng (tự điền)
失业的公司狗,Nhân viên công sở thất nghiệp,,,,tên riêng (tự điền)
失去干劲的流放者,1,,,,tên riêng (tự điền)
失常的民众,Người Dân Bất Thường,,,,tên riêng (tự điền)
失落的角斗士,Đấu Sĩ Thất Vọng,,,,tên riêng (tự điền)
失落的贵族,Quý Tộc Thất Vọng,,,,tên riêng (tự điền)
失落的青年,Chàng Trai Lạc Lõng,,,,tên riêng (tự điền)
头晕的研究员,Nghiên Cứu Viên Choáng Váng,,,,tên riêng (tự điền)
头疼的工匠,Thợ Thủ Công Đau Đầu,,,,tên riêng (tự điền)
头疼的帮派成员,Thành viên băng đảng đau đầu,,,,tên riêng (tự điền)
头脑派眼镜男【知名导演】,Chàng Trai Đeo Kính Trí Tuệ [Đạo Diễn Nổi Tiếng],,,,tên riêng (tự điền)
夸图斯,Cratus,,,,tên riêng (tự điền)
奄奄一息的佣兵【黑布蒙面】,Lính Đánh Thuê Thoi Thóp [Vải Đen Bịt Mặt],,,,tên riêng (tự điền)
奄奄一息的夜归士兵,Binh Sĩ Dạ Quy Hấp Hối,,,,tên riêng (tự điền)
奄奄一息的将士,Tướng Sĩ Hấp Hối,,,,tên riêng (tự điền)
奇亚拉,Chiara,,,,tên riêng (tự điền)
奇帆,Yangyang,,,,tên riêng (tự điền)
奇异电话亭【终末回音】,Bốt Điện Thoại Kỳ Lạ [Tiếng Vọng Tận Cùng],,,,tên riêng (tự điền)
奇异的白猫,Mèo Trắng Kỳ Lạ,,,,tên riêng (tự điền)
奇异的白猫【白之守门人】,Mèo Trắng Kỳ Lạ [Người Gác Cổng Trắng],,,,tên riêng (tự điền)
奇思帕,Kasper,,,,tên riêng (tự điền)
奇怪的传单,Tờ Rơi Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的兔子,Chú Thỏ Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的准时宝,Chuẩn Thời Bảo Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的告示,Thông Báo Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的呜獭獭,Ư Thát Thát Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的商贩【替身演员】,Thương Nhân Kỳ Lạ [Diễn Viên Đóng Thế],,,,tên riêng (tự điền)
奇怪的啪嗒,Ta-da Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的女孩,Cô Gái Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的平民？,Nguyên tố phiên mã,,,,tên riêng (tự điền)
奇怪的日灵,Tinh Linh Mặt Trời kỳ lạ,,,,tên riêng (tự điền)
奇怪的残象,Tàn Tượng kỳ lạ,,,,tên riêng (tự điền)
奇怪的流放者,Kẻ Lưu Đày Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的海报,Áp Phích Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的消息,Tin Nhắn Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的箱子,Rương Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的读物,Tài Liệu Kỳ Lạ,,,,tên riêng (tự điền)
奇怪的路人,3P,,,,tên riêng (tự điền)
奇怪的迎宾声骸,Echo Tiếp Tân Kì Lạ,,,,tên riêng (tự điền)
奇怪研究员,Nghiên Cứu Viên Kỳ Lạ,,,,tên riêng (tự điền)
奇特的黑猫,Mèo Đen Kỳ Lạ,,,,tên riêng (tự điền)
奇美拉,Chimera,,,,tên riêng (tự điền)
奇雷利,Cileli,,,,tên riêng (tự điền)
奈亚拉,Nyara,,,,tên riêng (tự điền)
奈莉,Nelly,,,,tên riêng (tự điền)
奈谢,Naixie,,,,tên riêng (tự điền)
奋力干活的流放者,Kẻ Lưu Đày Hăng Say Làm Việc,,,,tên riêng (tự điền)
奋战的定玄卫,Định Huyền Vệ chiến đấu hết mình,,,,tên riêng (tự điền)
奎托,60000,,,,tên riêng (tự điền)
奎托斯,Cratos,,,,tên riêng (tự điền)
奎诺尼斯,Quinones,,,,tên riêng (tự điền)
奥兰,Oran,,,,tên riêng (tự điền)
奥兰多,8777,,,,tên riêng (tự điền)
奥兰（通讯中）,Oran,,,,tên riêng (tự điền)
奥兹,0,,,,tên riêng (tự điền)
奥内卡,Oneka,,,,tên riêng (tự điền)
奥内拉,Onella,,,,tên riêng (tự điền)
奥利弗,Oliver,,,,tên riêng (tự điền)
奥利维娅,Olivia,,,,tên riêng (tự điền)
奥勒特,Aulet,,,,tên riêng (tự điền)
奥勒留,Aurelius,,,,tên riêng (tự điền)
奥卢斯,Aulus,,,,tên riêng (tự điền)
奥卢斯？,Aulus?,,,,tên riêng (tự điền)
奥古斯塔,Augusta,,,,tên riêng (tự điền)
奥古斯塔（通讯中）,Augusta,,,,tên riêng (tự điền)
奥尔卡莱,Orcalay,,,,tên riêng (tự điền)
奥尔森,Olsen,,,,tên riêng (tự điền)
奥尔玛,Orma,,,,tên riêng (tự điền)
奥尔琴岛,5,Zero Point Research Station,,,tên riêng (tự điền)
奥尔迪加·雷,Ordega Rai,,,,tên riêng (tự điền)
奥尔默,Olmer,,,,tên riêng (tự điền)
奥布里,Aubrey,,,,tên riêng (tự điền)
奥库斯图斯,Aucustus,,,,tên riêng (tự điền)
奥德吉尔,Odgier,,,,tên riêng (tự điền)
奥德维,Odvi,,,,tên riêng (tự điền)
奥戈,Ogo,,,,tên riêng (tự điền)
奥拉,Aurus,,,,tên riêng (tự điền)
奥斯卡,Oscar,,,,tên riêng (tự điền)
奥洛夫,Olof,,,,tên riêng (tự điền)
奥涅卡,Onyeka,,,,tên riêng (tự điền)
奥涅金,Onegin,,,,tên riêng (tự điền)
奥科罗,Oskar,,,,tên riêng (tự điền)
奥索,Osso,,,,tên riêng (tự điền)
奥维德,Ovid,,,,tên riêng (tự điền)
奥维第乌斯,Ovidius,,,,tên riêng (tự điền)
奥莲娜,Orlena,,,,tên riêng (tự điền)
奥萝拉,Aurora,,,,tên riêng (tự điền)
奥萝拉？,Aurora?,,,,tên riêng (tự điền)
奥萨,Asa,,,,tên riêng (tự điền)
女{PlayerName}思考,{PlayerName} nữ suy nghĩ,,,,tên riêng (tự điền)
女{PlayerName}无语,Nữ - {PlayerName} (Cạn lời),,,,tên riêng (tự điền)
女人,Phụ Nữ,,,,tên riêng (tự điền)
女人的声音,Giọng Nói Phụ Nữ,,,,tên riêng (tự điền)
女仆,Hầu Gái,,,,tên riêng (tự điền)
女仆波仔,Namipon Hầu Gái,,,,tên riêng (tự điền)
女子,Baizhi,,,,tên riêng (tự điền)
女学生,Nữ Sinh,,,,tên riêng (tự điền)
女孩,Bé Gái,,,,tên riêng (tự điền)
女孩的声音,888,,,,tên riêng (tự điền)
女平民A-11,Thường Dân Nữ A-11,,,,tên riêng (tự điền)
女幻影,Ảo Ảnh Nữ,,,,tên riêng (tự điền)
女性先约成员,"Tiếng ù tai đột nhiên xuất hiện, cậu một tay ấn lên thái dương cố giữ cho mình tỉnh táo, Yangyang lo lắng nhìn cậu, muốn nói lại thôi.\nNhững hình ảnh mà cậu từng thấy trong lúc hôn mê bắt đầu hiện ra. <ano=Wuthering Waves>Wuthering Waves</ano> từ trạng thái hạt khuếch tán biến thành năng lượng thực thể có thể nhìn thấy, vọt lên cao…\nCậu còn chưa kịp phản ứng, vai đột nhiên bị vỗ nhẹ một cái.",,,,tên riêng (tự điền)
女性定玄卫,Định Huyền Vệ nữ,,,,tên riêng (tự điền)
女性定玄卫（通讯中）,Định Huyền Vệ nữ,,,,tên riêng (tự điền)
女性居民,Nữ Cư Dân,,,,tên riêng (tự điền)
女性教员,Nữ Giáo Viên,,,,tên riêng (tự điền)
女性暴徒流放者,Kẻ Lưu Đày Hung Bạo Nữ,,,,tên riêng (tự điền)
女性流民,Dân tị nạn nữ,,,,tên riêng (tự điền)
女村民,Nữ Dân Làng,,,,tên riêng (tự điền)
女流放者,500/1000,,,,tên riêng (tự điền)
女青年,Nữ Thanh Niên,,,,tên riêng (tự điền)
女高中生,Nữ Sinh Trung Học,,,,tên riêng (tự điền)
奸诈的红衣男子,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
好奇围观的人,Người hiếu kỳ vây xem,,,,tên riêng (tự điền)
好奇的听众,"Đúng đúng, tôi chính là ý của Yangyang đó! Theo sát tôi, tôi dẫn các cậu vào lấy thiết bị trước!",,,,tên riêng (tự điền)
好奇的女生,Baizhi,,,,tên riêng (tự điền)
好奇的学徒,Học Đồ Tò Mò,,,,tên riêng (tự điền)
好奇的学生,Học Sinh Tò Mò,,,,tên riêng (tự điền)
好奇的孩子,Lingyang,,,,tên riêng (tự điền)
好奇的小孩子,Đứa Trẻ Tò Mò,,,,tên riêng (tự điền)
好奇的拂尾狐,Flufftail Fox Tò Mò,,,,tên riêng (tự điền)
好奇的日灵,<ano=Soliskin>Nhật Linh</ano> Tò Mò,,,,tên riêng (tự điền)
好奇的矿工,Lv.1,,,,tên riêng (tự điền)
好奇的群众,Quần Chúng Tò Mò,,,,tên riêng (tự điền)
好奇的陪同者,Người Đi Cùng Tò Mò,,,,tên riêng (tự điền)
好学的学生,Sinh Viên Hiếu Học,,,,tên riêng (tự điền)
好学的罗伊族少女,Thiếu Nữ Tộc Roy Ham Học,,,,tên riêng (tự điền)
好心的牧者,Người Chăn Cừu Tốt Bụng,,,,tên riêng (tự điền)
好感,Lv.2,Friendship,,,tên riêng (tự điền)
如月,Kisaragi,,,,tên riêng (tự điền)
如红花绽放的少女【危行倩影】,Cô Gái Nở Rộ Như Hoa Đỏ [Bóng Hình Nguy Hiểm],,,,tên riêng (tự điền)
如蝶翩跹的少女【流光先知】,Cô Gái Bay Lượn Như Bướm [Nhà Tiên Tri Lưu Quang],,,,tên riêng (tự điền)
妈妈,Mẹ,,,,tên riêng (tự điền)
妙宝堂老板娘,Bà Chủ Tiệm Báu Vật,,,,tên riêng (tự điền)
妮可,Nicole,,,,tên riêng (tự điền)
妮娅,Nia,,,,tên riêng (tự điền)
妮娅（通讯中）,Niya,,,,tên riêng (tự điền)
妮娜,Nina,,,,tên riêng (tự điền)
妮拉,Nila,,,,tên riêng (tự điền)
妮索最后的通讯,Liên Lạc Cuối Cùng Của Niso,,,,tên riêng (tự điền)
妲晚,Đát Vãn,,,,tên riêng (tự điền)
姓名不详,Yangyang,,,,tên riêng (tự điền)
姗姗来迟的男子,Người đàn ông đến muộn,,,,tên riêng (tự điền)
姜朴,V,,,,tên riêng (tự điền)
姜老五,Jiang Laowu,,,,tên riêng (tự điền)
威严的夜归士兵,Binh Sĩ Dạ Quy Uy Nghiêm,,,,tên riêng (tự điền)
威严的男声,9,,,,tên riêng (tự điền)
威严的老者,Cụ già uy nghiêm,,,,tên riêng (tự điền)
威伦纽瓦,8777,,,,tên riêng (tự điền)
威尔伯,Wilbur,,,,tên riêng (tự điền)
威尔艾米娜,Wilhelmina,,,,tên riêng (tự điền)
威瑟斯,Withers,,,,tên riêng (tự điền)
娅西娜,Yasina,,,,tên riêng (tự điền)
娜娜亚,10,,,,tên riêng (tự điền)
娜娜美,Nanami,,,,tên riêng (tự điền)
娜娜连,Nanalian,,,,tên riêng (tự điền)
娜拉,666,,,,tên riêng (tự điền)
娜斯塔霞,Nastasya,,,,tên riêng (tự điền)
娜波摩,Napomo,,,,tên riêng (tự điền)
娜波摩（残星会会长）,Nivora (Hội Trưởng Tàn Tinh Hội),,,,tên riêng (tự điền)
娜碧,Nabi,,,,tên riêng (tự điền)
娴缤,Nhàn Tân,,,,tên riêng (tự điền)
婵雪,Yangyang,,,,tên riêng (tự điền)
媛媛,Danjin,,,,tên riêng (tự điền)
嬷嬷,Ma Ma,,,,tên riêng (tự điền)
子含,Tử Hàm,,,,tên riêng (tự điền)
子恒,Tên Ảo Ảnh,,,,tên riêng (tự điền)
子苓,Tử Linh,,,,tên riêng (tự điền)
孔山,1,,,,tên riêng (tự điền)
孔蒂,Conti,,,,tên riêng (tự điền)
字条,0/80000000,,,,tên riêng (tự điền)
字迹凌乱的笔记·其一,Ghi Chép Nguệch Ngoạc·Phần I,,,,tên riêng (tự điền)
字迹凌乱的笔记·其二,Ghi Chép Nguệch Ngoạc·Phần II,,,,tên riêng (tự điền)
